"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000149781.13",748.207654282967,0.398671183063046,0.0544638263422376,7.31992608374396,2.48107579772664e-13,7.50376564264446e-09
"ENSG00000122188.13",899.515211277156,0.401364118596328,0.0698402144502435,5.74689126824307,9.08991400798657e-09,9.16384530858486e-05
"ENSG00000283537.2",53.6662574993868,9.95562590352326,1.72245639339776,5.77990011339825,7.47449894144513e-09,9.16384530858486e-05
"ENSG00000026751.17",1805.70349083014,0.496826148818422,0.0873101494838038,5.69035961747591,1.26772098429469e-08,9.58523836225214e-05
"ENSG00000136143.16",746.561033750965,-0.253544097563467,0.0450752031637215,-5.62491302906717,1.85601460567608e-08,0.000112266611468135
"ENSG00000071991.9",532.223259260145,-0.458935284332962,0.0833484151896388,-5.50622688252401,3.66606001099417e-08,0.000123195909969453
"ENSG00000077984.6",87.7665734608753,0.766982461078952,0.139269650329493,5.50717589413328,3.64635887784579e-08,0.000123195909969453
"ENSG00000143546.10",204.485139532161,1.12443209140469,0.202751388325331,5.54586629809136,2.92502283042232e-08,0.000123195909969453
"ENSG00000169660.17",1058.83503364166,0.236163657850701,0.0426491282092305,5.53736190554978,3.07061630140967e-08,0.000123195909969453
"ENSG00000120899.18",4282.71334478657,0.33850750024055,0.0625219767706634,5.41421621204058,6.15577480229383e-08,0.000149897238884426
"ENSG00000151702.17",1527.03818712111,0.234510415190432,0.0431724461776174,5.43194643698491,5.57426562091665e-08,0.000149897238884426
"ENSG00000187664.9",124.407155023972,-4.65990917749694,0.861025439026331,-5.41204587725826,6.23087194608154e-08,0.000149897238884426
"ENSG00000255398.3",95.3536632817056,2.06828124076551,0.382586723128572,5.40604552048305,6.44314279029737e-08,0.000149897238884426
"ENSG00000169282.18",218.887683037301,-0.884433798611276,0.166298560004573,-5.31834911010026,1.04713006597644e-07,0.000226210012252797
"ENSG00000140470.15",469.154523254322,0.409468707890088,0.0779476276400107,5.25312598070537,1.49539174726507e-07,0.000258863733298373
"ENSG00000183508.5",5677.38816757283,0.420609133286522,0.0801521507951995,5.24763377044292,1.54065176543139e-07,0.000258863733298373
"ENSG00000211597.2",576.056695691285,0.759677360639653,0.144148086638801,5.27011754615385,1.3633642039653e-07,0.000258863733298373
"ENSG00000239855.1",672.651933351965,0.795363794725241,0.15123143957695,5.25924898255394,1.44644930564053e-07,0.000258863733298373
"ENSG00000101294.18",3845.68846147323,0.204648786920456,0.0392181660969888,5.2182140902343,1.80656576970928e-07,0.000273188875695437
"ENSG00000253274.1",20.1217160731629,1.10518400976982,0.211518532758067,5.2249984687343,1.7415655083576e-07,0.000273188875695437
"ENSG00000158717.11",1013.85345069271,0.429038096576222,0.0826501070169365,5.191016830605,2.09148717102339e-07,0.000301213990478245
"ENSG00000278473.1",26.6647431792618,1.04030798801452,0.200887454178282,5.17856126093008,2.23603649045626e-07,0.000307394034624359
"ENSG00000171310.11",998.932984116607,0.401110558057044,0.0778075762988469,5.15516068147966,2.53413534073092e-07,0.000321986863630124
"ENSG00000206417.8",510.009246788742,0.405282628650341,0.0786404446624191,5.15361567943954,2.5551133206993e-07,0.000321986863630124
"ENSG00000110324.11",3270.44134043144,0.302760107468608,0.0590395985129562,5.12808547304344,2.92703554370121e-07,0.000341469906496023
"ENSG00000112759.19",947.971780419507,-0.420398072446492,0.0819882620773586,-5.12753974526052,2.9355302105861e-07,0.000341469906496023
"ENSG00000173915.16",451.226568638139,-0.313981450265079,0.0615568450940743,-5.10067482804287,3.38444592811969e-07,0.000379108083889081
"ENSG00000268521.1",68.0653312580578,-0.449073931560742,0.0882765697931117,-5.08712484652732,3.63532537918462e-07,0.000392667074171641
"ENSG00000059804.16",3676.43891905529,0.486780989943184,0.0963853762194114,5.05036146598709,4.40974819977861e-07,0.000440647324236633
"ENSG00000128294.16",1263.51086091894,0.319666384332327,0.0633531465797987,5.04578543592432,4.51662050368193e-07,0.000440647324236633
"ENSG00000166278.15",1542.07287272831,0.295205913066621,0.0584909795736778,5.04703315311665,4.48723509825607e-07,0.000440647324236633
"ENSG00000240771.8",1129.51228426445,-0.472924784971426,0.0944165656147391,-5.00891747006734,5.4737037066764e-07,0.000517333421577253
"ENSG00000122223.13",69.1159475863733,0.723956474108855,0.145304107923618,4.98235379889889,6.28154479012203e-07,0.000564697100053542
"ENSG00000235330.2",18.1133161565034,1.0666034726894,0.214401104604938,4.97480399951651,6.53136908556567e-07,0.000564697100053542
"ENSG00000279281.1",634.668479118765,0.250003596092695,0.050255041079741,4.97469688057777,6.53498164987236e-07,0.000564697100053542
"ENSG00000137393.10",831.21650432665,0.644637566335861,0.129891786550914,4.96288166829688,6.94549010822899e-07,0.000583498341203549
"ENSG00000064652.11",341.112414457621,-0.361229409457688,0.0730921277619375,-4.94211101138305,7.7281188555047e-07,0.000631700612610498
"ENSG00000135439.12",585.210924334651,0.347890724524146,0.0707026303995977,4.92047781755692,8.63331849997625e-07,0.000687121275561267
"ENSG00000203396.3",1828.30904345477,0.630082517206122,0.128441212357925,4.90561016700994,9.31373458991e-07,0.000722268176762149
"ENSG00000211867.1",20.3922337023747,1.00007093145508,0.204887468821952,4.88107416820178,1.05509547734412e-06,0.000797757690419887
"ENSG00000118496.5",896.48541399161,-0.283144215164461,0.0581122282213181,-4.87236892872388,1.10268010179004e-06,0.00081340139020824
"ENSG00000028137.19",2131.26006321806,0.299648501927597,0.0616852934187394,4.85769760214136,1.18758596751553e-06,0.000814753144129188
"ENSG00000128203.7",146.488306459338,0.481536001617301,0.0989642771203538,4.86575576186636,1.14020254212843e-06,0.000814753144129188
"ENSG00000134775.16",365.805063963683,-0.439039068735536,0.0904559751697145,-4.85362153148873,1.21226992083764e-06,0.000814753144129188
"ENSG00000255833.2",198.125459459141,0.736544474218445,0.151541836363318,4.86033752720666,1.17185784337419e-06,0.000814753144129188
"ENSG00000141524.17",4698.92429155386,0.252985465060673,0.0521983633001368,4.84661681068475,1.2558465765737e-06,0.000825691823084676
"ENSG00000148926.10",738.911600564591,0.585775096295112,0.121004783812192,4.84092510924425,1.29236073891846e-06,0.000831620386975533
"ENSG00000188060.8",309.838158870985,0.274609972736157,0.0568255729965004,4.83250688476242,1.34824447812447e-06,0.000849506374924926
"ENSG00000243466.1",4079.69978089014,0.614236139273446,0.127435982182156,4.81995845094567,1.43588122900199e-06,0.000886261058978291
"ENSG00000140968.11",1887.69749340172,0.36426381934727,0.0758150139811,4.80463961185944,1.55030493201067e-06,0.000909186507004873
"ENSG00000143641.10",2126.89643839666,0.232105294634419,0.0482729308572035,4.80818733217197,1.52305010084796e-06,0.000909186507004873
"ENSG00000254221.3",111.482592355836,-0.524246208483432,0.109150178939566,-4.80298075162749,1.56320917749813e-06,0.000909186507004873
"ENSG00000089639.11",1467.77513393708,0.225734609915625,0.0470769262821025,4.79501589723464,1.62661930829804e-06,0.000928216497361621
"ENSG00000137502.10",1670.5104321913,0.302282609538514,0.0632081504818657,4.78233593664852,1.73269792064923e-06,0.000970439183557689
"ENSG00000196557.13",3159.01413714037,-0.563740381635871,0.118201164152755,-4.7693301980286,1.84839470634602e-06,0.00100666291361811
"ENSG00000257727.6",1477.96306391763,0.114883237806122,0.0240964468952666,4.76764222980481,1.86394402733151e-06,0.00100666291361811
"ENSG00000197776.8",230.136644752278,-0.377962904909376,0.0794177023142709,-4.75917703352465,1.94383888649585e-06,0.00103139409268738
"ENSG00000138823.14",182.24513877129,-2.83469316205083,0.59683644641951,-4.74953092938019,2.03889013355863e-06,0.00104863015978758
"ENSG00000211598.2",3776.17628910683,0.59820536210209,0.125968211256173,4.74885970148105,2.04566788214082e-06,0.00104863015978758
"ENSG00000213949.10",5391.57977160649,-0.307709582013872,0.0650143564979201,-4.73294820696588,2.21281967951558e-06,0.00111540863978782
