symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol.1,biotype
CSF2RB,1408.33601263769,0.539293898515068,0.0768058902361233,7.02151744947066,2.19471399614402e-12,5.68387030721379e-08,CSF2RB, protein_coding
NOD2,327.881216631842,0.651847580925613,0.128877272671505,5.05789397473598,4.23911999141301e-07,0.0002396823804713,NOD2, protein_coding
SNX20,512.669724933123,0.374546809391596,0.0753888811612298,4.96819694923678,6.7578308802466e-07,0.0002822811357042,SNX20, protein_coding
ZNF267,798.797506360398,0.29700810670257,0.0601376206744282,4.93880707902473,7.86019261349314e-07,0.0003180676067253,ZNF267, protein_coding
SPCS2,948.414288371801,0.226494997295403,0.0476594526378562,4.7523625379511,2.01053455093534e-06,0.0006942509840016,SPCS2, protein_coding
STK10,2621.32374968834,0.219563797197585,0.0480156200506707,4.57275771854826,4.81346615050856e-06,0.0012474195985154,STK10, protein_coding
PTPN6,1371.95403946489,0.205973807105385,0.0450536699763869,4.57174315018816,4.83683599052446e-06,0.0012474195985154,PTPN6, protein_coding
ENSG00000230551,4745.07250637468,0.167971890915886,0.0371301915342666,4.52386276437245,6.07211045555793e-06,0.0013916417396286,ENSG00000230551, lncRNA
TMED9,1378.05416083685,0.185677151426572,0.0419910121970377,4.42183080882417,9.78680806685133e-06,0.0019466828524239,TMED9, protein_coding
FCER1G,441.914610178745,0.347350159571728,0.07889020516473,4.40295672759918,1.06785471279009e-05,0.0020485408408768,FCER1G, protein_coding
IER3,499.250885459692,0.72968219339005,0.16674375655873,4.37606905619308,1.20838744969859e-05,0.0022038604346686,IER3, protein_coding
FYB1,2298.44404280193,0.331456650755711,0.0759260717245941,4.36551823671322,1.26821720184086e-05,0.0022742697397691,FYB1, protein_coding
TNFRSF1B,2548.55169863638,0.267468219799428,0.0618429498784491,4.32495895369044,1.52560266235962e-05,0.0024388924536907,TNFRSF1B, protein_coding
IL21R,622.558360976049,0.360495221402389,0.0842116314685763,4.28082457394153,1.86202097894765e-05,0.0027714149030337,IL21R, protein_coding
LCP1,4168.78506381123,0.336059962706905,0.0785699938285518,4.2772049014058,1.89254590390245e-05,0.0027998493611393,LCP1, protein_coding
ITGAL,3410.38224157711,0.198839863843589,0.0469393525031952,4.23610154890938,2.27433951133439e-05,0.00328949706545,ITGAL, protein_coding
IL10RA,3222.81867915765,0.294895961947594,0.0699771561212771,4.21417471490998,2.50693171832951e-05,0.0033991894053035,IL10RA, protein_coding
AEN,644.419833541923,0.319216333423284,0.0785528617734667,4.06371360910886,4.82980809177086e-05,0.0055029475291116,AEN, protein_coding
SLC2A3,2739.42000583521,0.530106762110594,0.133239285585585,3.97860705857722,6.93201964264175e-05,0.0071810177882054,SLC2A3, protein_coding
DUSP2,302.080746942213,0.541275388316996,0.13680168662827,3.95664265300909,7.60105047099393e-05,0.0076596110932996,DUSP2, protein_coding
RELT,994.694053772601,0.392397827760131,0.100557879447521,3.90220865750172,9.53189335130417e-05,0.0088479202154865,RELT, protein_coding
RAC2,1154.41222967899,0.212732055197504,0.0553047448628176,3.84654256565476,0.000119796326733,0.0102731300322267,RAC2, protein_coding
CYRIB,1748.89660417553,0.170088018547334,0.0448143369138616,3.79539295369387,0.0001474097890752,0.0118928932008458,CYRIB, protein_coding
IGHG1,21155.5843309025,0.848000821136901,0.225731314710667,3.75668224067109,0.0001721808971512,0.0130008233020255,IGHG1, IG_C_gene
DOK3,691.676193755937,0.28606972257338,0.0763174137070688,3.74842003518894,0.0001779520546831,0.0131674351776692,DOK3, protein_coding
ARHGAP45,2174.374563315,0.206722367951466,0.0552875206608265,3.7390421107803,0.0001847227846603,0.0134540945335036,ARHGAP45, protein_coding
PDE4B,1314.83946926896,0.479125101845117,0.128512572602611,3.72823523910517,0.0001928253459021,0.0137950022325266,PDE4B, protein_coding
CHD1,2593.10873740135,0.169314853038071,0.0456924675456167,3.70553095800828,0.0002109483608176,0.0147652449958225,CHD1, protein_coding
PARVG,1818.79283911359,0.241406186694146,0.0652051967382746,3.70225378911315,0.0002136926996087,0.0148700314277214,PARVG, protein_coding
SH3BGRL3,1315.95405958394,0.262571764644565,0.0716050884038564,3.66694281785739,0.000245467659556,0.015932635205974,SH3BGRL3, protein_coding
GJD3,184.969141235821,0.379568123392123,0.103474564076929,3.66822635860472,0.0002442389077123,0.015932635205974,GJD3, protein_coding
TUT7,2435.28024397922,0.175248615619853,0.0480918048709083,3.64404322296219,0.0002683883183019,0.01674872449972,TUT7, protein_coding
TYROBP,395.055122295555,0.373718000047733,0.102538723766532,3.64465234518269,0.0002677534943822,0.01674872449972,TYROBP, protein_coding
CHST11,956.120029934211,0.244551414222541,0.0672561080055503,3.63612200400237,0.0002767732842949,0.0171891475219924,CHST11, protein_coding
PTPN1,1748.96974965208,0.258785375984844,0.0714952490321528,3.61961640092286,0.0002950400695861,0.0176594986486505,PTPN1, protein_coding
CCDC88A,5136.67371017027,0.115344078142306,0.0319178904737585,3.61377510951538,0.0003017708352901,0.017916488419877,CCDC88A, protein_coding
IFITM3,2153.70934359331,0.322034901056149,0.0891511115779823,3.61223652017461,0.0003035674884712,0.017917319511773,IFITM3, protein_coding
FAM20A,525.17659984116,0.4732874858478,0.131554008648467,3.59766677359487,0.0003210846150151,0.0183391065603891,FAM20A, protein_coding
DSTN,5053.33309764757,-0.310324529993554,0.086428455402486,-3.59053657210942,0.0003299979212863,0.0185790142410652,DSTN, protein_coding
CD72,227.21699374043,0.397871852932403,0.113752444069829,3.49769937855721,0.0004692897894812,0.0225485472504355,CD72, protein_coding
PTK6,1630.68068647123,-0.190696264531192,0.0548659767920335,-3.47567428269828,0.0005095707703945,0.0236211664374893,PTK6, protein_coding
SORBS1,11185.4744345972,-0.240393727325668,0.069828060147264,-3.44265223491372,0.0005760395471264,0.0257211589508274,SORBS1, protein_coding
SAMSN1,527.190384583363,0.436533943406733,0.12734944177618,3.42784339937627,0.0006083963029103,0.0264810881559214,SAMSN1, protein_coding
REL,4184.24083977322,0.150880219953164,0.044048248475199,3.42533983021178,0.0006140308629261,0.0266368028275748,REL, protein_coding
RASSF5,1319.85786325196,0.222456320930974,0.0652871776009449,3.40735086284009,0.0006559674518612,0.0277585703730419,RASSF5, protein_coding
OTULIN,2521.69928016893,0.144920420624105,0.0426096284425341,3.40111908789708,0.0006711058489728,0.028219439192094,OTULIN, protein_coding
SOWAHB,418.550653920109,-0.298689603157065,0.0889072163616076,-3.35956534666681,0.0007806518669334,0.0308596812554881,SOWAHB, protein_coding
DOCK2,2909.17824240072,0.201466680910682,0.0601282055277022,3.35061855151927,0.0008063128719404,0.031375802610351,DOCK2, protein_coding
CR1,1553.98342962656,0.380608330994297,0.114238734648985,3.33169246108836,0.000863195896739,0.032258365560964,CR1, protein_coding
LEO1,649.133482495947,0.1398690015263,0.0420148624627888,3.32903628210558,0.0008714705091906,0.0323806933242752,LEO1, protein_coding
PPP1R18,1399.53573983758,0.182707882753299,0.0549735120043924,3.32356213186272,0.0008887562225366,0.0328176742242777,PPP1R18, protein_coding
SLIRP,440.66026423928,-0.160606222532022,0.0484007904547478,-3.31825619009633,0.0009058136228057,0.0330912124592909,SLIRP, protein_coding
LAPTM5,2954.29195874177,0.268906609795252,0.0821297921812087,3.2741664462263,0.001059741691538,0.0367793489074926,LAPTM5, protein_coding
NDUFS4,340.95284764558,-0.160521633277367,0.0490586880343633,-3.27203273689115,0.001067772114809,0.0367793489074926,NDUFS4, protein_coding
PIK3AP1,1104.52474180269,0.301080910223868,0.091970708575052,3.27366087408334,0.0010616393944634,0.0367793489074926,PIK3AP1, protein_coding
IL16,1983.96151474461,0.180318678689234,0.0557243343037918,3.23590547903529,0.0012125752946751,0.0397596875940966,IL16, protein_coding
FLI1,1467.68547746028,0.155244375587387,0.0482890893904004,3.21489548772168,0.0013049202266852,0.0416705598405593,FLI1, protein_coding
STON1,1716.35767494252,-0.206996129851267,0.0646395055493622,-3.20231610826901,0.0013632730970612,0.0429465042997303,STON1, protein_coding
GPSM3,599.213402022465,0.197628438704817,0.0619292345004728,3.19119782924666,0.0014168423018237,0.0439968608304931,GPSM3, protein_coding
CYTH1,4489.88793023257,0.124366037639255,0.0391414945817446,3.17734514147191,0.001486300411522,0.0452317368479422,CYTH1, protein_coding
TXNDC12,547.944388004472,0.147023638134703,0.0463309365554565,3.17333619964106,0.0015069790900264,0.0455112973999077,TXNDC12, protein_coding
MKKS,654.298448423402,-0.151508062107314,0.0477888809510024,-3.17036220753222,0.0015224902346714,0.0456359399276872,MKKS, protein_coding
PRKD3,1689.01739453261,-0.155609310811212,0.0492159624053178,-3.16176506983024,0.0015681602314573,0.0464840705303902,PRKD3, protein_coding
S100A11,650.796726507917,0.276524404655326,0.0876166895532407,3.15606999152022,0.0015991048288585,0.0470075106217687,S100A11, protein_coding
MGAT1,4095.68873980697,0.188985754511099,0.0601781275814051,3.14043926101642,0.0016869468447678,0.0484351988756073,MGAT1, protein_coding
